Search Parameters,Year,populationratio,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""Country = Indonesia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1943,,6,9,3,6,22,,,INDONESIA:  S SUMATERA,-1,101,50,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
,1943,,7,23,14,53,9,,,INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110,90,8.1,8,213,3,,,2096,4,,3,,,2800,4,213,3,,,2096,4,,3,,,2800,4
,1943,,11,6,8,31,37,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,-6,134.5,60,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
,1944,,3,22,0,43,18,,,INDONESIA:  FLORES,-8.5,123.5,220,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1948,,3,1,1,12,28,,,INDONESIA:  SERAM,-3,127.5,60,7.9,,,,,,,,,,,,,,,,,,,,,,,,,
,1948,,6,2,18,58,18,1783,,INDONESIA:  OFF NORTHWEST COAST,6,95,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
,1949,,5,9,13,36,18,1793,,INDONESIA:  BANDA ACEH,5,95,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,,6,19,12,36,54,,,INDONESIA:  JAVA:  GRESIK,-6,113,,6.5,7,16,1,,,50,1,,1,50,1,,,16,1,,,50,1,,1,50,1,,
,1950,,10,8,3,23,9,1809,,INDONESIA:  SERAM,-3.8,128.3,60,7.6,,,,,,,,,,,,,,1,1,,,,,,3,,3,,3
,1950,,11,2,15,27,56,,,INDONESIA:  BANDA SEA,-6.5,129.5,60,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,,11,2,8,24,54,,,"INDONESIA:  SUMABAWA:  BIMA,RABA",-8,119,,6.8,8,,,,,,,,1,,,,2,,,,,,,,1,,,,2
,1956,,7,18,6,19,35,,,INDONESIA:  BANDA SEA,-5.5,130,190,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1957,,4,16,4,4,4,,,INDONESIA:  JAVA SEA,-4.6,107.1,600,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1957,,6,22,23,50,23,1869,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.5,137,33,7.3,,,,,,,,,3,,,,,,,,,,,,3,,,,
,1957,,9,26,,,,1872,,S. JAVA SEA,-8.2,107.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1957,,10,26,14,16,57,1873,,INDONESIA:  KALIMANTAN ISLAND,-2,116,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1958,,4,21,22,37,36,1879,,INDONESIA:  SUMATRA:  BENGKULU,-4.5,104,200,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,1958,,10,20,1,12,37,,,INDONESIA:  JAVA:  MALANG,-9.5,112.5,100,6.7,8,8,1,,,1856,4,,2,95,2,206,3,8,1,,,1856,4,,2,95,2,206,3
,1960,14.586,4,29,9,16,20,,,INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND,-0.5,121.5,,,8,,,,,,,,2,50,1,,,,,,,,,,2,50,1,,
,1961,14.821,3,16,13,45,35.6,,,INDONESIA:  FLORES:  ENDEH,-8.2,122,74,6.5,8,2,1,,,6,1,,2,,,,,2,1,,,6,1,,2,,,,
,1963,15.299,5,18,12,20,34.4,,353,INDONESIA:  BALI,-8.2,115.6,65,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1963,15.299,11,4,1,17,11.4,,,INDONESIA:  BANDA SEA,-6.86,129.58,100,8.3,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1963,15.299,12,16,1,51,31,1949,,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",-6.4,105.4,64,6.6,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,1964,15.543,1,8,22,30,49.7,,,INDONESIA:  SULAWESI:  PINRANG,-3.7,119.4,90,5.2,,8,1,,,27,1,,2,,,,,8,1,,,27,1,,2,,,,
,1964,15.543,4,2,1,11,51,1956,,INDONESIA:  BANDA ACEH,5.9,95.7,130,7,7,,,,,,,,3,,3,,,,,,,,,,3,,3,,
,1965,15.789,1,24,0,11,12.1,1963,,INDONESIA:  SANANA ISLAND,-2.4,126.1,6,7.6,,71,2,,,,,,2,3000,4,,,71,2,,,,,,2,3000,4,,
,1967,16.293,2,19,22,14,35.3,,,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",-9.2,113.1,80,6.8,9,54,2,,,300,3,,3,2000,4,5000,4,54,2,,,300,3,,3,2000,4,5000,4
,1967,16.293,4,11,5,9,12.1,1987,,INDONESIA:  MAKASSAR STRAIT,-3.7,119.3,33,5.5,8,58,2,,,100,2,,2,,2,,,71,2,,,100,2,,2,,2,,
,1967,16.293,4,12,4,51,50.2,1988,,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",5.5,97.3,100,6.1,,14,1,,,,,,3,2000,4,,,14,1,,,,,,3,2000,4,,
,1968,16.549,5,28,13,27,18.7,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-2.9,139.3,65,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,16.549,8,10,2,7,4.3,2006,,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",1.4,126.2,25,7.6,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1968,16.549,8,14,22,14,19.4,2007,,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",0.2,119.8,23,7.4,8,,,,,,,,,,,,,200,3,,,58,2,,3,800,3,,
,1969,16.809,1,30,10,29,40.4,,,"INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN",4.8,127.4,70,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1969,16.809,2,23,0,36,58.9,2011,,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.201,118.904,15,7,8,64,2,,,97,2,,3,1287,4,,,664,3,,,97,2,,3,1287,4,,
,1969,16.809,11,21,2,5,35,,,INDONESIA:  OFF NW COAST SUMATERA,2.1,94.6,20,7.7,,,,,,,,,,,,,,,,,,,,,,,,,
,1971,17.338,1,10,7,17,3.7,,,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",-3.1,139.7,34,8.1,9,,,,,,,,2,,1,,2,,,,,,,,2,,1,,2
,1971,17.338,2,4,15,33,28.6,,,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",0.6,98.8,40,7.1,6,,,,,,,,2,,,,,,,,,,,,2,,,,
,1971,17.338,6,16,14,44,22.5,,,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1,35,5.2,,1,1,,,6,1,,3,,,1377,4,1,1,,,6,1,,3,,,1377,4
,1972,17.779,6,11,16,41,0.9,,,INDONESIA:  CELEBES SEA,3.9,124.3,325,7.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,19.317,1,15,9,42,24,2072,,INDONESIA:  MALUKU:  BANDANAIRA,-5,130,,5.9,7,,,,,,,,2,81,2,6,1,,,,,,,,2,81,2,6,1
,1975,19.317,2,9,4,45,24.5,,,INDONESIA:  JAVA,-6.7,106.7,27,5.6,8,1,1,,,,,,2,,,,,1,1,,,,,,2,,,,
,1976,19.853,6,25,19,18,56.9,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-4.603,140.091,33,7.1,,6000,4,,,,,,3,,,,,6000,4,,,,,,3,,,,
,1976,19.853,7,14,7,13,24,,,INDONESIA:  BALI,-8.17,114.888,40,6.5,,573,3,,,4755,4,195,4,,,,,573,3,,,4755,4,195,4,,,,
,1976,19.853,10,29,2,51,7.6,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,-4.517,139.918,33,7.1,8,133,3,,,,,,1,,,,1,133,3,,,,,,1,,,,1
,1977,20.398,1,26,13,11,29.8,,,"INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM",-8.22,115.19,33,5.2,6,,,,,,,,1,,,,,,,,,,,,,,,,
,1977,20.398,3,8,23,17,28,,,"INDONESIA:  SUMATERA,SINURAT,TALU",0.45,100.02,22,6,8,,,,,,,,1,,,,,,,,,,,,,,,,
,1977,20.398,8,19,6,8,55.2,2092,,INDONESIA:  SUNDA ISLANDS,-11.085,118.464,33,8,,,,,,,,,1,,,,,189,3,,,75,2,1.2,2,,,,
,1979,21.524,5,21,16,31,5.2,,,INDONESIA:  BALI,-8.299,115.934,43,5.4,,,,,,,,,3,,,,,,,,,,,,,,,,
,1979,21.524,5,30,9,38,52.9,,,INDONESIA:  SUMBAWA ISLAND,-8.207,115.949,25,5.8,,22,1,,,,,4.15,2,,,,,22,1,,,,,4.15,2,,,,
,1979,21.524,9,12,5,17,51.4,2119,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04,5,7.9,,15,1,,,,3,,3,1000,3,,,115,3,,,,3,,3,1000,3,,
,1979,21.524,10,20,1,41,10.4,,,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,38,6.2,,2,1,,,40,1,,2,,,,,2,1,,,40,1,,2,,,,
,1979,21.524,11,2,15,53,3.5,,,INDONESIA:  JAVA,-7.656,108.252,62,6.1,,30,1,,,200,3,16,3,,,,,30,1,,,200,3,16,3,,,,
,1979,21.524,12,15,0,2,41.6,,,INDONESIA:  S SUMATERA,-3.299,102.712,33,6.6,,8,1,,,162,3,,2,2500,4,,,8,1,,,162,3,,3,2500,4,,
,1979,21.524,12,17,19,58,23.8,,,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,33,6.3,,27,1,,,200,3,,2,,,,,27,1,,,200,3,,,,,,
,1980,22.104,4,16,12,18,20.6,,,INDONESIA:  JAVA:  TASIKMALAJA,-8.082,108.793,84,5.8,,,,,,,,,2,,,,,,,,,,,,2,,,,
,1981,22.815,1,19,15,11,1,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,-4.576,139.232,33,6.7,,305,3,,,,2,5,2,,,,,305,3,,,,2,5,2,,,,
,1982,23.606,2,10,16,17,51.5,,,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936,40,5.5,,,,,,17,1,3.5,2,,,,,,,,,17,1,3.5,2,,,,
,1982,23.606,2,24,4,22,40.3,2134,,INDONESIA:  NORTHERN SUMATERA,4.374,97.755,52,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,23.606,3,11,10,32,27.7,2343,,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479,33,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,23.606,8,6,20,40,52.2,,,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577,46,5.6,,,,,,,,,2,,,,,,,,,,,,2,,,,
,1982,23.606,12,25,12,28,2.8,2689,,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,33,5.9,,13,1,,,390,3,1.45,2,1875,4,,,13,1,,,390,3,1.45,2,1875,4,,
,1983,24.415,3,12,1,36,35.8,2140,,INDONESIA:  BANDA SEA,-4.056,127.924,17,6.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1983,24.415,4,4,2,51,34.3,,,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722,79,6.6,7,,1,,,100,2,1,2,,,,,,1,,,100,2,1,2,,,,
,1983,24.415,10,16,5,32,28.7,,,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052,40,6,,,,,,,,,2,20,1,15,1,,,,,,,,2,20,1,15,1
,1983,24.415,10,25,0,36,23.4,,,INDONESIA:  CENTRAL SULAWESI,1.131,120.858,33,6.1,7,2,1,,,4,1,,2,20,1,4,1,2,1,,,4,1,,2,20,1,4,1
,1984,25.244,1,8,15,24,13.5,2151,,INDONESIA:  SULAWESI:  W,-2.823,118.806,33,6.6,7,2,1,,,89,2,0.5,1,,,685,3,2,1,,,89,2,0.5,1,,,685,3
,1984,25.244,8,27,6,41,26.2,,,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075,33,5.2,,,,,,123,3,1,2,415,3,,,,,,,123,3,1,2,415,3,,
,1985,26.089,4,13,1,6,0.1,2160,,"INDONESIA:  DENPASAR, BALI",-9.245,114.185,99,6.2,,,,,,,,,2,,2,,,,,,,,,,2,,2,,
,1985,26.089,9,15,2,42,54.8,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049,10,6.3,,10,1,,,7,1,,2,,,,,10,1,,,7,1,,2,,,,
,1985,26.089,11,17,9,40,21.2,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,-1.639,134.911,10,7.1,8,,,,,,,,1,,,,,,,,,,,,1,,,,
,1986,26.953,1,29,11,56,34.6,,,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461,33,5,,,,,,2,1,,3,,,,,,,,,2,1,,3,,,,
,1987,26.953,4,25,19,22,7.2,,,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",2.244,98.866,11,6.6,,2,1,,,22,1,1,2,300,3,,,2,1,,,22,1,1,2,300,3,,
,1987,26.953,11,26,1,43,14,2178,4663,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",-8.247,124.155,33,6.5,,125,3,,,108,3,5,2,237,3,,,125,3,,,108,3,5,2,237,3,,
,1989,29.651,3,8,11,44,32.3,,,"INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU",1.031,126.189,32,5.6,,,,,,,,,3,,,,,,,,,,,,,,,,
,1989,29.651,7,14,20,42,40,,,INDONESIA:  TIMOR:  ALOR,-8.081,125.129,10,6.2,,,,,,,,,2,,,,,,,,,,,,,,,,
,1989,29.651,8,1,0,18,4.8,,,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",-4.511,139.022,14,5.8,,120,3,,,125,3,1,2,,,,,120,3,,,125,3,1,2,,,,
,1989,29.651,9,4,5,20,55.9,,,INDONESIA:  TEMBAGAPURA,-4.219,136.667,9,6,,,,,,,,,2,,,,,,,,,,,,2,,,,
,1990,30.584,4,18,13,39,19,,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857,26,7.6,,3,1,,,25,1,,3,,,1140,4,3,1,,,25,1,,3,,,1140,4
,1990,30.584,7,6,0,16,20.4,,,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",-6.904,108.12,14,4.8,,,,,,103,3,,3,10300,4,,,,,,,103,3,,3,10300,4,,
,1990,30.584,11,15,2,34,32.4,,,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457,48,6.8,,1,1,,,32,1,2.1,2,,,,,1,1,,,32,1,2.1,2,,,,
,1991,31.613,6,20,5,18,52.5,,,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",1.196,122.787,31,7.5,6,,,,,,,,3,,,1500,4,,,,,,,,3,,,1500,4
,1991,31.613,7,4,11,43,10.4,,,"INDONESIA:  TIMOR:  KALABAHI, DILI",-8.099,124.681,29,6.5,,28,1,,,181,3,7.7,3,1150,4,,,28,1,,,181,3,7.7,3,1150,4,,
,1992,32.703,2,4,1,58,39.7,,,"INDONESIA:  JAWA, BREBES",-7.138,109.067,58,4.4,,,,,,1,1,,3,800,3,700,3,,,,,1,1,,3,800,3,700,3
,1992,32.703,12,12,5,29,26.3,2214,,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896,28,7.8,11,1000,4,,,500,3,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,
,1994,34.933,1,21,2,24,29.9,2224,,INDONESIA:  KAU,1.015,127.733,20,7,,9,1,,,300,3,,2,,,550,3,9,1,,,300,3,,2,,,550,3
,1994,34.933,2,15,17,7,43.8,,,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302,23,6.9,,207,3,,,2000,4,170.476,4,6000,4,,,207,3,,,2000,4,170.476,4,6000,4,,
,1994,34.933,6,2,18,17,34,2227,,INDONESIA:  JAVA,-10.477,112.835,18,7.8,,,1,,,,,,1,,,,,238,3,,,423,3,2.2,2,1500,4,,
,1994,34.933,6,3,21,6,59.8,2592,,INDONESIA:  JAVA,-10.362,112.892,26,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,34.933,6,4,0,57,50.6,5576,,INDONESIA:  JAVA,-10.777,113.366,11,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,34.933,6,5,1,45,2.7,2593,,INDONESIA:  JAVA,-10.341,113.369,17,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,34.933,10,8,21,44,7.2,2231,,INDONESIA:  HALMAHERA,-1.258,127.98,17,6.8,,1,1,,,52,2,,2,,,500,3,1,1,,,52,2,,2,,,500,3
,1995,36.076,3,19,23,53,14.9,,,INDONESIA:  IRIAN JAYA REGION,-4.183,135.109,33,6.9,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,1995,36.076,5,14,11,33,21.1,2245,,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,13,6.9,7,,,,,,,,,,,,,11,1,,,19,1,,1,,2,,
,1995,36.076,10,6,18,9,45.9,,,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436,33,6.8,,84,2,,,1868,4,,4,17600,4,,,84,2,,,1868,4,,4,17600,4,,
,1996,37.235,1,1,8,5,10.8,2259,,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,24,7.9,6,,,,,,,,1,,,,,9,1,,,63,2,1.2,2,400,3,,
,1996,37.235,2,17,5,59,30.5,2260,,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,33,8.2,9,54,2,,,423,3,4.2,2,5043,4,,,164,3,,,423,3,4.2,2,5043,4,,
,1997,38.406,8,20,7,15,15.9,,,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494,33,6,,,,,,,,,2,,3,,,,,,,,,,2,,3,,
,1997,38.406,9,28,1,38,28.6,,,"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,33,5.9,,20,1,,,300,3,1.1,2,650,3,,,20,1,,,300,3,1.1,2,650,3,,
,1997,38.406,11,25,12,14,33.6,,,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,24,7,,,,,,,,,1,,,,,,,,,,,,,,,,
,1998,39.593,9,28,13,34,30.4,,,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,152,6.6,,1,1,,,,,,1,38,1,62,2,1,1,,,,,,1,38,1,62,2
,1998,39.593,11,29,14,10,31.9,2588,,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,33,7.7,7,41,1,,,107,3,200,4,1000,3,,,41,1,,,107,3,200,4,1000,3,,
,1999,40.792,12,21,14,14,57.6,,,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,56,6.5,,5,1,,,220,3,3.9,2,,,2800,4,5,1,,,220,3,3.9,2,,,2800,4
,2000,42.002,5,4,4,21,16.2,2338,,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,26,7.6,,54,2,,,264,3,30,4,23000,4,,,54,2,,,264,3,30,4,23000,4,,
,2000,42.002,6,4,16,28,26.1,,,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,33,7.9,6,103,3,,,2174,4,6,3,,,,,103,3,,,2174,4,6,3,,,,
,2000,42.002,6,7,23,45,26.6,,,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,33,6.7,,1,1,,,,,,2,,,600,3,1,1,,,,,,2,,,600,3
,2000,42.002,7,12,1,10,42.6,,,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,33,5.4,,,,,,6,1,,2,,,225,3,,,,,6,1,,2,,,225,3
,2001,42.783,10,19,3,28,44.4,,,INDONESIA:  BANDA SEA,-4.102,123.907,33,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,43.568,8,15,5,30,26.2,,,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,10,6.2,,48,1,,,,,,2,,,200,3,48,1,,,,,,2,,,200,3
,2002,43.568,9,20,15,43,35.4,,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,10,6.4,,,,,,,,,1,,,31,1,,,,,,,,1,,,31,1
,2002,43.568,10,10,10,50,20.5,2400,,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,10,7.6,,8,1,,,632,3,,3,1000,3,900,3,8,1,,,632,3,,3,1000,3,900,3
,2002,43.568,11,2,1,26,10.7,,,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,30,7.3,,3,1,,,65,2,,3,,,994,3,3,1,,,65,2,,3,,,994,3
,2003,44.356,1,23,0,8,22.8,,,INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,33,5.5,6,,,,,2,1,,2,,,500,3,,,,,2,1,,2,,,500,3
,2003,44.356,3,21,11,38,20,,,"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,33,4.6,,,,,,,,,2,,,,,,,,,,,,2,,,800,3
,2003,44.356,3,25,2,53,25,,,INDONESIA:  FLORES:  REO,-8.294,120.743,33,6.5,,4,1,,,20,1,,1,,,,2,4,1,,,20,1,,1,,,,2
,2003,44.356,5,26,19,23,27.9,,,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,31,7,,1,1,,,7,1,,1,28,1,20,1,1,1,,,7,1,,1,28,1,20,1
,2003,44.356,8,11,0,19,9.2,,,INDONESIA:  HALMAHERA:  WASILE,1.142,128.152,10,6,,,,,,,,,2,,,200,3,,,,,,,,2,,,200,3
,2003,44.356,12,5,23,41,27.4,,,"INDONESIA:  FLORES, RUTENG",-8.137,120.524,33,4.9,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,2004,45.149,1,1,20,59,31.9,,,"INDONESIA:  BALI, LOMBOK",-8.31,115.788,45,5.8,6,1,1,,,29,1,12,3,6000,4,,,1,1,,,29,1,12,3,6000,4,,
,2004,45.149,1,28,22,15,30.7,2434,,INDONESIA:  SERAM,-3.12,127.4,17,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,45.149,2,5,21,5,2.8,,,INDONESIA:  NABIRE,-3.615,135.538,17,7,,37,1,,,682,3,1,2,2678,4,,,37,1,,,682,3,1,2,2678,4,,
,2004,45.149,2,7,2,42,35.2,,,INDONESIA:  NABIRE,-4.003,135.023,10,7.3,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2004,45.149,2,16,14,44,39.9,,,INDONESIA:  SUMATRA:  PADANGPANJANG,-0.466,100.655,56,5.1,,5,1,,,7,1,,1,,,,,5,1,,,7,1,,,,,100,2
,2004,45.149,2,22,6,46,27,,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-1.559,100.488,42,6,,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,3
,2004,45.149,4,9,1,55,50.7,,,INDONESIA:  SUMATRA:  PADANG,-1.549,100.54,66,5.4,,,,,,,,,1,,,,,,,,,,,,1,,,,1
,2004,45.149,4,16,18,32,24,,,INDONESIA:  BALI,-8.669,114.65,96,5.5,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,2004,45.149,4,23,1,50,30.2,,,INDONESIA:  TIMOR: KUPANG,-9.362,122.839,66,6.7,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2004,45.149,11,11,21,26,41.1,3013,,INDONESIA:  KEPULAUAN ALOR,-8.152,124.868,10,7.5,,34,1,,,400,3,,3,781,3,16712,4,34,1,,,400,3,,3,781,3,16712,4
,2004,45.149,11,26,2,25,3.3,,,INDONESIA:  NABIRE,-3.609,135.404,10,7.1,8,32,1,,,130,3,55,4,328,3,,,32,1,,,130,3,55,4,328,3,,
,2004,45.149,12,26,0,58,53.4,2439,,INDONESIA:  SUMATRA:  ACEH:  OFF WEST COAST,3.316,95.854,30,9.1,,1001,4,,,,3,10000,4,,3,,3,227899,4,,,,3,10000,4,,4,,4
,2005,45.942,1,23,20,10,12.1,,,INDONESIA:  SULAWESI:  PALU,-1.198,119.933,11,6.3,,1,1,,,4,1,,2,,,,,1,1,,,4,1,,2,,,,
,2005,45.942,2,2,5,55,18.2,,,INDONESIA:  JAVA:  GARUT,-7.037,107.819,15,4.8,,1,1,,,,2,,2,,2,,2,1,1,,,,2,,2,,2,,
,2005,45.942,3,28,16,9,36.5,2487,,INDONESIA:  SUMATERA:  SW,2.085,97.108,30,8.6,,1303,4,,,340,3,,4,300,3,300,3,1313,4,,,340,3,,4,300,3,,
,2005,45.942,4,10,10,29,11.2,2507,,INDONESIA:  PADANG,-1.644,99.607,19,6.7,5,,,,,,,,,,,,,,,,,,,,,,,,
,2005,45.942,7,5,1,52,2.9,,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.819,97.082,21,6.7,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2005,45.942,7,9,23,59,17,,,INDONESIA:  SULAWESI:  DONGGALA,-1.174,119.963,32,5.9,,,,,,,,,1,6,1,6,1,,,,,,,,1,6,1,,
,2005,45.942,7,18,2,4,59.8,,,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-9.948,124.48,10,5.3,,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
,2006,46.738,1,27,16,58,53.6,,,INDONESIA:  BANDA SEA,-5.473,128.131,397,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,46.738,3,14,6,57,33.8,2875,,INDONESIA:  SERAM,-3.595,127.214,30,6.7,,,,,,,,,2,241,3,,,4,1,,,,,,2,241,3,,
,2006,46.738,3,28,8,35,43.3,,,INDONESIA:  N. SUMATRA: TAPAKTUAN,3.462,97.224,30,5,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2006,46.738,5,12,8,16,56.5,,,INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395,17,5.5,,,,,,,,,1,,2,,2,,,,,,,,1,,2,,
,2006,46.738,5,26,22,53,58.9,,,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-7.961,110.446,13,6.3,,5749,4,,,38568,4,3100,4,127000,4,127000,4,5749,4,,,38568,4,3100,4,127000,4,,
,2006,46.738,7,17,8,19,25,2832,,INDONESIA:  JAVA,-9.254,107.411,34,7.7,,,,,,,,,,,,,,802,3,,,498,3,55,4,1623,4,,
,2006,46.738,11,24,6,33,26.4,,,INDONESIA:  SULAWESI: PINRANG,-3.728,119.233,31,5.2,,,,,,,,,1,,,,,,,,,,,,1,,,,
,2006,46.738,11,29,1,32,17.9,,,INDONESIA:  HALMAHERA:  MOROTAI,2.52,128.283,39,6.2,,,,,,,,,2,50,1,,,,,,,,,,2,50,1,,
