Search Parameters,Year,populationratio,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""Country = Indonesia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,,1,4,,,,715,,INDONESIA:  JAVA:  PURWOREJO,-8,110.5,150,7,9,,,,,,,,3,,3,,,,,,,,,,3,,3,,
,1840,,2,14,,,,718,,INDONESIA:  MALUKU:  TERNATE ISLAND,0.8,127.325,,,,,,,,,,,2,500,3,,,,,,,,,,2,500,3,,
,1841,,11,26,,,,724,,INDONESIA:  N. MOLUCCAS ISLANDS,-5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1841,,12,16,,,,725,,INDONESIA:  BANDA SEA,-4,127.5,,6,8,,,,,,,,,,,,,,,,,,,,2,,3,,
,1843,,1,5,,,,728,,SW. SUMATRA,1.5,98,70,7.3,11,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
,1843,,2,7,,,,729,,INDONESIA:  JAVA:  GENTENG ISLAND,-7.2,114,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1845,,2,8,7,30,,741,489,"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON",1.48,124.85,,7,9,118,3,,,,,,2,,3,,,118,3,,,,,,2,,3,,
,1846,,1,25,0,0,,749,,INDONESIA:  N. MOLUCCAS ISLANDS,2,126.5,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
,1847,,11,16,,,,,,INDONESIA:  JAVA:  CHERIBON,-6.67,108.55,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
,1852,,1,9,,,,5454,,INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,150,6.5,8,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,1852,,11,11,0,0,,794,,INDONESIA:  SUMATRA:  SIBOLGA,1.5,98,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1852,,11,19,,,,796,,INDONESIA:  AMBON ISLAND,-3.7,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1852,,11,25,22,40,,799,,INDONESIA:  MALUKU:  BANDANAIRA,-5.25,129.75,100,8.3,9,,,,,,,,3,,3,,,60,2,,,,,,3,,3,,
,1852,,12,24,,,,804,,INDONESIA:  BANDANEIRA,-5,130.5,,7,,,,,,,,,1,,1,,,,1,,,,,,1,,2,,
,1854,,1,4,,,,815,,INDONESIA:  BANDA SEA,-3.5,128.6,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1854,,9,27,,,,827,,INDONESIA:  MALUKU:  TERNATE ISLAND,0.8,127.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1855,,7,14,,,,,,INDONESIA:  MALUKU:  TERNATE ISLAND,0.8,127.3,,,9,34,1,,,,,,2,1,1,,2,34,1,,,,,,2,1,1,,2
,1856,,3,2,,,,859,581,INDONESIA:  SANGIHE PULAU (VOLCANIC),3.67,125.5,,,,,,,,,,,,,,,,2806,4,,,,2,,3,,3,,
,1856,,7,25,,,,861,,INDONESIA:  LOMBOK ISLAND,-8.5,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1857,,5,13,,,,870,,"INDONESIA:  TIMOR ISLAND::  DILHI, GERA",-8,115.5,50,7,,36,1,,,,,,2,,2,,,36,1,,,,,,2,,2,,
,1857,,11,17,,,,872,,INDONESIA:  SULAWESI ISLAND:  KEMA,1.35,125.2,,,,,,,,,,,,,,,,,,,,,,,2,,3,,
,1857,,11,18,,,,873,,INDONESIA:  SULAWESI ISLAND:  KEMA,1.35,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1858,,12,13,,,,879,,INDONESIA:  N. MOLUCCAS ISLANDS,1,126,,7.3,,,,,,,,,1,15,1,,,,,,,,,,3,,3,,
,1859,,6,28,,,,880,,INDONESIA:  N. MOLUCCAS ISLANDS,1,126.5,,7,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,,7,20,,,,881,,INDONESIA:  LONTHOR ISLAND,-4.6,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,,7,29,,,,882,,INDONESIA:  SULAWESI,0.009,125.5,,7.3,,,,,,,,,,,,,,,,,,,,,2,,2,,
,1859,,9,25,,,,887,,"INDONESIA:  NEIRA I, LONTHOR I",-5.5,130.5,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1859,,10,20,,,,892,,S. JAVA SEA,-9,111,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,
,1859,,12,17,,,,895,,"INDONESIA:  SULAWESI:  MANADO, BELANG",0.9,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,,8,,,,,901,,INDONESIA:  SULAWESI:  MINAHASSA,1.3,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,,10,6,,,,902,,INDONESIA: HALMAHERA ISLAND,-1.25,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1861,,2,16,,,,904,,"INDONESIA:  LAGUNDI, SIMUK, TELLO I",-1,97.5,70,8.5,9,,3,,,,,,2,,,,,1105,4,,,,,,2,,,,
,1861,,3,9,,,,907,,INDONESIA:  SW. SUMATRA,0.009,98,20,7,,,3,,,,,,2,96,2,,,950,3,,,,,,3,96,2,,
,1861,,4,26,,,,909,,INDONESIA:  SW. SUMATRA,1,97.5,70,7,,,,,,,,,,,,,,,,,,,,,,,,,
,1861,,6,17,,,,913,,INDONESIA:  SW. SUMATRA,1,97.5,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1861,,9,25,,,,914,,INDONESIA:  SW. SUMATRA,-1.5,100,,6.5,,,,,,,,,,,,,,,,,,,,,1,,1,,
,1863,,3,16,,,,927,,INDONESIA:  JAVA,-6.1,106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1863,,7,31,,,,,,INDONESIA:  JAVA:  BANYUMAS,-7.5,109.3,,,,,,,,,,,2,,3,,,,,,,,,,2,,3,,
,1864,,5,23,,,,934,,INDONESIA:   IRIAN JAYA:  MANOKWARI,-1,135,,7.8,7,,,,,,,,3,,3,,,250,3,,,,,,3,,3,,
,1865,,7,16,,,,,,INDONESIA:  JAVA:  AMBARAWA,-7.2,110.3,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
,1867,,6,10,,,,5749,,"INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA",-7.8,110.4,,,9,5,1,,,,,,3,372,3,,,5,1,,,,,,3,372,3,,
,1871,,8,25,,,,1027,,INDONESIA:  GORONTALO,0.5,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1875,,10,25,,,,,,INDONESIA:  W JAVA:  KUNINGAN,-6.9,108.3,,,8,7,1,,,,,,3,,,1001,4,7,1,,,,,,3,,,1001,4
,1876,,5,28,,,,1064,,"INDONESIA:  BURU ISLAND, CERAM SEA",-3,127.25,50,6.8,7,,,,,,,,1,,,,3,,,,,,,,1,,,,3
,1882,,10,10,,,,1135,,INDONESIA:  BANDANEIRA,-4.5,129.9,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1885,,4,30,,,,1153,,"INDONESIA:  BURU I, AMBON I, HARUKU I",-2.5,127.5,,7.3,,,,,,,,,1,,,,,,,,,,,,1,3,1,,
,1885,,7,29,,,,1154,,INDONESIA:  SUMATRA:  AJERBANGIS,0,99.5,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
,1885,,12,14,,,,1160,,INDONESIA:  BANDA ATJEH,5.55,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1886,,1,31,,,,1162,,INDONESIA:  KOETA RADJA (ATJEH),5.6,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1887,,5,19,,,,1163,,INDONESIA:  SUMATRA:  ACEH:  SIGLI,5.4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1888,,3,21,,,,1176,,INDONESIA:  SUMATERA:  BREUEH ISLAND,5.8,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,,9,6,12,,,1181,569,INDONESIA:  N. MOLUCCAS ISLANDS,1,126.25,70,8,,,,,,,,,2,,2,,1,,,,,,,,2,,2,,1
,1889,,11,23,,,,1184,,"INDONESIA:  MADURA ISLAND, JAVA",-7,113.5,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,,11,23,,,,,,INDONESIA:  BANDANEIRA,-4.5,129.9,,,7,,,,,,,,2,,,,3,,,,,,,,2,,,,3
,1890,,12,12,,,,,,INDONESIA:  JAVA:  PATI,-6.76,111.04,,,8,,2,,,,,,2,,3,,,,2,,,,,,2,,3,,
,1891,,5,19,,,,1185,,INDONESIA:  SUMATRA:  ACEH:  SIGLI,5.4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1891,,10,5,,,,1190,,TIMOR SEA,-9,124,80,7,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,,5,17,12,10,,1196,,"INDONESIA:  SUMATRA:  PADANGSIDIMPUAN, LAKE TOBA",2.5,99.5,,,6,,,,,,,,2,,3,,3,,,,,,,,2,,3,,
,1892,,11,18,,,,1199,,INDONESIA: SERAM ISLAND,-3,127.75,70,7,,,,,,,,,,,,,,,,,,,,,,,,,
,1896,,4,18,,,,,,INDONESIA:  TIMOR:  ALOR ISLAND,-8.25,124.75,,,8,250,3,,,,,,2,,3,,,250,3,,,,,,2,,3,,
,1896,,10,10,,,,1235,,"INDONESIA:  SW. SUMATRA, JAVA",-3.5,102.5,130,6.8,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
,1897,,3,15,,,,1238,,INDONESIA:  KAJUADI ISLAND,-6.8,120.8,15,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
,1899,,9,29,17,3,,1266,,INDONESIA:  BANDA SEA,-3,128.5,,7.8,,2460,4,,,300,3,,3,,,,,2460,4,,,300,3,,3,,,,
,1900,,1,10,,,,5459,,INDONESIA:  GALELA (HALMAHERA ISLAND),-0.03,127.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
